#Wavelength[um] k_ext[m^2/kg] SSA
2.045620261684583108e-01 9.972250116952685858e+03 9.962918703603114157e-01
2.101198149326962139e-01 9.972250116952685858e+03 9.962761212068903527e-01
2.197201201214151189e-01 9.595341501848379266e+03 9.962489167402005519e-01
2.260327278651539928e-01 9.330466746745547425e+03 9.962310286497998435e-01
2.268673390070510554e-01 9.292970435861943770e+03 9.962286636050889932e-01
2.339681753786686802e-01 8.973953405345702777e+03 9.961560931707034161e-01
2.516058336963048481e-01 8.538281812489429285e+03 9.959758365842015237e-01
2.561660570161618522e-01 8.425638755130969002e+03 9.959758365842015237e-01
2.571176923012625237e-01 8.165819126073236475e+03 9.959758365842015237e-01
2.623746917734097184e-01 7.816649402222274148e+03 9.959758365842016348e-01
2.718238950996930137e-01 7.469220778535574937e+03 9.959758365842016348e-01
2.790403944609460840e-01 7.158491495258214854e+03 9.959758365842017458e-01
2.793168077917524972e-01 7.146589642036838995e+03 9.959785643067547989e-01
2.871936974420812305e-01 6.847173174394922171e+03 9.960562956140138757e-01
2.952927197705469964e-01 6.546437691477049157e+03 9.961362189874594097e-01
3.036201390424742019e-01 6.249659254387042893e+03 9.962183962445794183e-01
3.094643652466110839e-01 6.037187805574118102e+03 9.962760686715057545e-01
3.121823961789582103e-01 5.938371649261525818e+03 9.962480685674460767e-01
3.209861137386633700e-01 5.624446013584098182e+03 9.961573760720628945e-01
3.286388141627935022e-01 5.323215899937739778e+03 9.960785409103056764e-01
3.395551415070659496e-01 5.017830888172123196e+03 9.959660851255126568e-01
3.432102590130703401e-01 4.901370460849117080e+03 9.959284315177849845e-01
3.489150876903079901e-01 4.719601534278568579e+03 9.959645660380893606e-01
3.603100357661937481e-01 4.452764743952751815e+03 9.960367419097782005e-01
3.708145684101993300e-01 4.183289923075028128e+03 9.961032778689782319e-01
3.806312320966242502e-01 3.971579190570004812e+03 9.961654568498674589e-01
3.845848497804669197e-01 3.886313633693625889e+03 9.961401696614686774e-01
3.993934585522842529e-01 3.590164726621692807e+03 9.960454543627518254e-01
4.152152701320865336e-01 3.285831929314848367e+03 9.959442586573945544e-01
4.221368527777012991e-01 3.145187811582088216e+03 9.958999884779351497e-01
4.297039177966036072e-01 2.991427719721561971e+03 9.959410354544772082e-01
4.444691741549208763e-01 2.709422253722256755e+03 9.960211284799584952e-01
4.675650193337369531e-01 2.455931499779520436e+03 9.961464101595669529e-01
4.681632396990009770e-01 2.449290903876030370e+03 9.961496551610620198e-01
4.924370313872274973e-01 2.179837620426094873e+03 9.960069000631428526e-01
5.192141040924773687e-01 1.919321464107236807e+03 9.958494230737575670e-01
5.206026499575461264e-01 1.905812196846322422e+03 9.958525236465310959e-01
5.503792401219654851e-01 1.632776034723513931e+03 9.959190136970750284e-01
5.758265334851534467e-01 1.484127711886974794e+03 9.959758365842015237e-01
5.875804300455360618e-01 1.415468268009829899e+03 9.960350031514677571e-01
6.383769007203101697e-01 1.171285565048554645e+03 9.962907015731468086e-01
6.386090893374510857e-01 1.170076967544579247e+03 9.962918703603114157e-01
6.901312627477379502e-01 9.018916837445815418e+02 9.961632642886698585e-01
