#Wavelength[um] k_ext[m^2/kg] SSA
1.184752231004968237e-01 9.346436085359871868e+03 4.887088775004135854e-01
1.194104754087227660e-01 9.476312033346315729e+03 4.887088775004135854e-01
1.213048930566788669e-01 9.739384667058660852e+03 4.989240039253529657e-01
1.254930867619205859e-01 9.764136400971079638e+03 5.215076872210286929e-01
1.346349488383396520e-01 9.818163734352619940e+03 5.115656005059214806e-01
1.362903770915592505e-01 9.827947121301393054e+03 5.091565272800906428e-01
1.491295357104678310e-01 9.907803830217733775e+03 4.904722543671131696e-01
1.504886567957040289e-01 9.916257260859671078e+03 4.904522711122628054e-01
1.590408357477122170e-01 9.644054242456504653e+03 4.903265278114045111e-01
1.638904647518150959e-01 9.487577882197096187e+03 4.902552233681349847e-01
1.648166680537097306e-01 9.457693344345208970e+03 4.868847136947242471e-01
1.694905947516321121e-01 9.629117290580459667e+03 4.698760125640601970e-01
1.749745000280732432e-01 9.830248532900910504e+03 4.579203174078365635e-01
1.769136676712461109e-01 9.901370694476992867e+03 4.599496049979681644e-01
1.913441495143323179e-01 1.008432185455171748e+04 4.750507221328850171e-01
1.948480792589876998e-01 1.012874504281221016e+04 4.764826041184522798e-01
2.094152733544971945e-01 1.028430911989225569e+04 4.824354925396421301e-01
2.173803343029427348e-01 1.036936855873869899e+04 4.844183752501298734e-01
2.317815644334899061e-01 1.038480838909383601e+04 4.880035267537339294e-01
2.425405424433664248e-01 1.039634329227650051e+04 4.902114020376583947e-01
2.587285809625677335e-01 1.002534130943785203e+04 4.935333876490196059e-01
2.605288441445682279e-01 1.002830164177496590e+04 4.939028239077840610e-01
2.862659125217972278e-01 1.007062338480754261e+04 4.871244975130323840e-01
2.933062637215714252e-01 1.017533937391429936e+04 4.852702926103491521e-01
3.041491796304031658e-01 1.033661352515708313e+04 4.871813068477477970e-01
3.212914953614272040e-01 1.047019739500129072e+04 4.902025614345593141e-01
3.316191794012606220e-01 1.055067730344635493e+04 4.954793584942060458e-01
3.491705713951508971e-01 1.080053436798605981e+04 5.044470160357086286e-01
3.498944260121690242e-01 1.081083897458504725e+04 5.615265601197663159e-01
3.518617162556588185e-01 1.116489955554263543e+04 7.166572003607474262e-01
3.526540548510151973e-01 1.114850264225309365e+04 7.791370474458592099e-01
3.544088072923564092e-01 1.111218922297261452e+04 8.008265829062661822e-01
3.561722911124754476e-01 1.107569511369223073e+04 8.230451314266824525e-01
3.579445497573717772e-01 1.103901941532626370e+04 8.450520747230951812e-01
3.623446935874097274e-01 1.094796140393380847e+04 8.771835141218513598e-01
3.698122420624031514e-01 1.079342552047751815e+04 9.135819379826659592e-01
3.698669273511709377e-01 1.079229384527780712e+04 9.136447401573040139e-01
3.779863384476250809e-01 1.044421603366501768e+04 9.229693077901711673e-01
3.819902891198911909e-01 1.020679762000641313e+04 9.275675610869543730e-01
3.913965448667711677e-01 9.911353127422971738e+03 9.383699785088448486e-01
3.949863071966639994e-01 9.798600982617412228e+03 9.514893745224585198e-01
3.977615192803123922e-01 9.719747070152656306e+03 9.616318583420588872e-01
4.088719745765431735e-01 9.404058451421649806e+03 9.789314122618492098e-01
4.121311851585406916e-01 9.290224302212915063e+03 9.840061718190336038e-01
4.198327058106047227e-01 9.021233996436507368e+03 9.889280155761162039e-01
4.269928591392715411e-01 8.758591613195680111e+03 9.935038854013836795e-01
4.369903455239891876e-01 8.487196508841965624e+03 9.998930218034205453e-01
4.416073065492402971e-01 8.361862942880781702e+03 9.998419973411526440e-01
4.587325457987063704e-01 8.051382607094292325e+03 9.996527373237656944e-01
4.714151107816380026e-01 7.327396458520055603e+03 9.995125756340972334e-01
4.811003159274172547e-01 7.026428366732546237e+03 9.994055393429491785e-01
4.869276619747922030e-01 6.811991058722867820e+03 9.993411382798060849e-01
4.901062349303555998e-01 6.695024497553838046e+03 9.993278968758709802e-01
5.091619449856987778e-01 6.401866946998372441e+03 9.992485139711400066e-01
5.232892042759894613e-01 6.080947899843584310e+03 9.991896621689718705e-01
5.349006240032299075e-01 5.786433584416720805e+03 9.991412909341387261e-01
5.431104723325660411e-01 5.586487852361888145e+03 9.991070900774983166e-01
5.457026214405625852e-01 5.523357678672606198e+03 9.991062943461084256e-01
5.606972555115029566e-01 5.226105748919436337e+03 9.991016913311915326e-01
5.752642477774533303e-01 4.931069600849727976e+03 9.990972195926764998e-01
5.929348154987461594e-01 4.617006631802465563e+03 9.990917951264024488e-01
6.057757818913420689e-01 4.459936457663689907e+03 9.990878532389531053e-01
6.180354777261868326e-01 4.309976361141842062e+03 9.991069733382261786e-01
